Id,Name,Project,Score
1143,projekt-detail_283,TD1001,0.2188440436
414,projekt-detail_1313,IS1106,0.2188019179
1367,projekt-detail_523,FA1005,0.2184363629
774,projekt-detail_1661,TU0804,0.2181355734
467,projekt-detail_1363,ES0907,0.2181115454
54,projekt-detail_059,IS1406,0.2179657689
1375,projekt-detail_531,TU1304,0.2178126333
919,projekt-detail_1799,TU0903,0.2174987834
581,projekt-detail_1473,IC1304,0.2169648076
1346,projekt-detail_501,IC1002,0.2169457951
322,projekt-detail_1221,IC0901,0.2165995448
488,projekt-detail_1382,IC1002,0.2163153307
817,projekt-detail_1702,TU0804,0.2158106411
1112,projekt-detail_252,IC1104,0.2152821677
1435,projekt-detail_595,TU1401,0.215016529
1156,projekt-detail_297,TU0802,0.2149935839
1462,projekt-detail_624,TU0804,0.2144900469
1385,projekt-detail_541,TU1204,0.2144264882
604,projekt-detail_1494,TU0802,0.2142746351
814,projekt-detail_169,TD1106,0.2141385239
1514,projekt-detail_683,IS1406,0.2137103488
1350,projekt-detail_505,IS0906,0.2132374626
165,projekt-detail_1068,TU0903,0.2132304601
267,projekt-detail_116,TD1203,0.2126020446
925,projekt-detail_1804,TD1208,0.2118448465
505,projekt-detail_139,TU0802,0.2116582825
1141,projekt-detail_281,IC1002,0.2114254861
848,projekt-detail_1732,TU0701,0.2111079928
27,projekt-detail_031,BM0906,0.2106547677
312,projekt-detail_1212,IS1306,0.2105871546
1684,projekt-detail_875,TU1306,0.2101371562
779,projekt-detail_1666,IS0906,0.2096772256
1284,projekt-detail_431,TU1204,0.2095706284
291,projekt-detail_1192,IS1204,0.2092165705
187,projekt-detail_108,IS1007,0.2086851669
751,projekt-detail_163,TD1006,0.206765341
719,projekt-detail_160,TU0702,0.2061606176
1472,projekt-detail_637,IC1201,0.2061252852
538,projekt-detail_1432,IC1202,0.2061217724
1734,projekt-detail_926,IS1007,0.205898382
623,projekt-detail_1512,IC1207,0.2054894878
698,projekt-detail_158,IS0906,0.2054428352
324,projekt-detail_1223,ES1404,0.2049576228
775,projekt-detail_1662,IS0902,0.2044623092
851,projekt-detail_1735,BM0605,0.204293609
205,projekt-detail_1107,BM1308,0.2039772375
121,projekt-detail_1027,TU1209,0.2037985064
1754,projekt-detail_948,IC1304,0.2036790325
339,projekt-detail_1239,FP1004,0.2035784202
733,projekt-detail_1622,IS0906,0.2034335157
1095,projekt-detail_235,IS1406,0.2033703565
699,projekt-detail_1590,TD1201,0.2033685121
899,projekt-detail_177,IS0902,0.2032700927
166,projekt-detail_1069,TU0701,0.2028584418
162,projekt-detail_1065,ES1406,0.2027161709
607,projekt-detail_1497,TD1005,0.202444443
1681,projekt-detail_871,IS0703,0.2023129931
1588,projekt-detail_763,TU1004,0.2022181033
1625,projekt-detail_808,MP0806,0.2021182094
17,projekt-detail_019,IC0901,0.2020607757
1465,projekt-detail_628,TU0904,0.201684282
362,projekt-detail_1260,TU1204,0.2015721676
1705,projekt-detail_896,IS0907,0.2015279404
929,projekt-detail_1809,TU0903,0.2014044332
920,projekt-detail_179,CM0601,0.2011460448
743,projekt-detail_1631,TU0804,0.200810034
1384,projekt-detail_540,TU1302,0.2005982197
359,projekt-detail_1258,TD1001,0.2005650659
338,projekt-detail_1238,IS1306,0.2005511312
90,projekt-detail_095,ES0803,0.1992883524
484,projekt-detail_1379,IS0703,0.1990608393
1240,projekt-detail_385,IS1202,0.1989748096
110,projekt-detail_1017,IS0907,0.1988257597
1086,projekt-detail_226,FA1307,0.1988110743
1449,projekt-detail_611,FP1405,0.1985637866
1674,projekt-detail_864,IS0906,0.198437174
1006,projekt-detail_1881,MP1208,0.198390459
1098,projekt-detail_238,ES1408,0.19838996
154,projekt-detail_1058,IC0702,0.1978945218
1117,projekt-detail_257,TU1408,0.1976158029
391,projekt-detail_1289,ES1005,0.197543345
198,projekt-detail_1100,IS0602,0.1968433959
718,projekt-detail_1609,TU1002,0.1968077929
221,projekt-detail_1122,IS0804,0.1966821843
1328,projekt-detail_480,IC1002,0.1966630002
1447,projekt-detail_609,IC1201,0.1964227216
564,projekt-detail_1458,TU1105,0.1962599941
1062,projekt-detail_200,CM1404,0.1960504455
1317,projekt-detail_468,FA1305,0.1959342835
169,projekt-detail_1071,TU0905,0.1958275257
91,projekt-detail_096,TU1401,0.195774869
1345,projekt-detail_500,TU0701,0.1955789679
967,projekt-detail_1844,TU0903,0.1955329024
1708,projekt-detail_899,IS0605,0.1954331015
1352,projekt-detail_507,TU1204,0.1951265367
1192,projekt-detail_335,FA1208,0.195015914
126,projekt-detail_1031,IS1101,0.1949996802
1157,projekt-detail_298,ES1002,0.1948226796
1510,projekt-detail_678,IC0701,0.1945474832
1802,projekt-detail,ES1104,0.1943043423
1082,projekt-detail_221,ES0805,0.1936000446
1187,projekt-detail_330,BM0906,0.1932392063
438,projekt-detail_1336,FP1104,0.1931230089
1081,projekt-detail_220,TU1304,0.1929589701
622,projekt-detail_1511,IC1207,0.1927033739
1396,projekt-detail_552,BM1004,0.1922913386
841,projekt-detail_1726,IS1306,0.1920468754
1158,projekt-detail_299,IC0801,0.1920306317
1033,projekt-detail_1907,TD1006,0.1919140254
999,projekt-detail_1874,IS1404,0.1917638019
349,projekt-detail_1248,FA1202,0.1916665998
1275,projekt-detail_421,FA1002,0.1916139594
1710,projekt-detail_901,ES1201,0.1916026662
1709,projekt-detail_900,ES1201,0.1916026662
506,projekt-detail_1400,IS0602,0.1913956953
970,projekt-detail_1847,FP1104,0.1910655697
1034,projekt-detail_1908,TD1005,0.1905049738
1440,projekt-detail_602,IS1202,0.189970784
415,projekt-detail_1314,FA0906,0.1898992884
1196,projekt-detail_339,CM1304,0.189669909
894,projekt-detail_1775,TU1209,0.1896475477
1210,projekt-detail_354,IS1007,0.1895446051
1229,projekt-detail_373,FA0906,0.1895292959
1106,projekt-detail_246,TU1401,0.1894125143
617,projekt-detail_1507,MP1002,0.1884680044
1712,projekt-detail_903,IS0703,0.1878883883
174,projekt-detail_1076,FA0601,0.1878434496
1737,projekt-detail_931,FP0802,0.1875659243
1611,projekt-detail_790,IS0906,0.1874332749
1742,projekt-detail_936,IS1004,0.1873600465
587,projekt-detail_1479,BM1406,0.1871283813
1217,projekt-detail_361,TU1405,0.1867114606
1448,projekt-detail_610,TU1105,0.1864467315
525,projekt-detail_141,FP1206,0.1863909
739,projekt-detail_1628,IS0906,0.1863358742
1416,projekt-detail_573,IS0605,0.1862604984
1155,projekt-detail_296,CM1005,0.1862561585
60,projekt-detail_065,TU0804,0.1862473409
482,projekt-detail_1377,IC1207,0.1859997622
850,projekt-detail_1734,FA1005,0.1858658833
530,projekt-detail_1425,TU1004,0.1857273329
933,projekt-detail_1812,IC0803,0.1850314714
392,projekt-detail_128,IC1304,0.1846286089
990,projekt-detail_1866,IC1207,0.1844072082
1409,projekt-detail_566,ES1404,0.1842526478
1792,projekt-detail_990,BM1007,0.1841983762
1528,projekt-detail_699,IS0906,0.1841049023
1236,projekt-detail_380,TD1006,0.1840959267
45,projekt-detail_050,TU1204,0.183722346
1332,projekt-detail_484,IS1106,0.183665008
1369,projekt-detail_525,CM1005,0.1834006577
122,projekt-detail_1028,IS0602,0.1830113935
797,projekt-detail_1684,TU1105,0.1828531817
1089,projekt-detail_229,TU0905,0.1828518766
1600,projekt-detail_776,IC0901,0.1827396042
1234,projekt-detail_378,BM1103,0.1827334429
675,projekt-detail_1568,IC1207,0.1824277997
888,projekt-detail_176,TU0702,0.182408931
179,projekt-detail_1080,FA1001,0.1823809486
1707,projekt-detail_898,MP1106,0.1822670257
527,projekt-detail_1421,IS1409,0.1822281535
788,projekt-detail_1675,IS0906,0.1820510808
529,projekt-detail_1424,BM1406,0.1819753078
167,projekt-detail_106,IC1207,0.1819418792
540,projekt-detail_1434,IS1202,0.1819338773
737,projekt-detail_1626,IS0906,0.1818972584
692,projekt-detail_1583,FP0603,0.1816390606
328,projekt-detail_1228,IS0603,0.1816273519
56,projekt-detail_061,IC1302,0.1814368655
1215,projekt-detail_359,TU0702,0.1813289989
926,projekt-detail_1805,ES0804,0.1812653593
1793,projekt-detail_991,CM0902,0.181195601
546,projekt-detail_143,TD1001,0.1810315457
1070,projekt-detail_208,IC1302,0.1809263134
1508,projekt-detail_676,IS1202,0.1809204248
1460,projekt-detail_622,TU0903,0.180552094
784,projekt-detail_1671,IC1002,0.1800359731
1373,projekt-detail_529,TD1203,0.1797648105
1672,projekt-detail_862,BM0605,0.1797027685
898,projekt-detail_1779,TU1105,0.1795942835
1084,projekt-detail_223,IC1302,0.1795000397
1056,projekt-detail_194,IS1204,0.1794468702
1050,projekt-detail_1923,TU0903,0.1793609186
1714,projekt-detail_905,IS1007,0.1791486742
686,projekt-detail_1578,IS1306,0.1791028329
600,projekt-detail_1490,IS1406,0.1784447957
984,projekt-detail_185,FA1407,0.1782637277
533,projekt-detail_1428,TD1203,0.1776392871
1478,projekt-detail_643,FP0804,0.1775324256
273,projekt-detail_1175,TU1401,0.1772397776
1519,projekt-detail_689,FP1405,0.1771737163
77,projekt-detail_082,BM0704,0.1771219971
868,projekt-detail_1750,TU1201,0.177080098
728,projekt-detail_1618,TU1305,0.1770279651
576,projekt-detail_1469,FP1302,0.1769757474
872,projekt-detail_1754,FA1006,0.1766316629
1666,projekt-detail_854,TD1005,0.1765063867
897,projekt-detail_1778,TU0903,0.1764978638
905,projekt-detail_1785,BM0906,0.1757871169
1310,projekt-detail_461,TU1302,0.1752071928
1123,projekt-detail_263,TU1204,0.1751724891
1012,projekt-detail_1887,ES0602,0.1749682495
1721,projekt-detail_912,IS1302,0.1746037262
758,projekt-detail_1647,MP1002,0.174249949
1788,projekt-detail_986,IS0902,0.1740515813
476,projekt-detail_1371,IS0703,0.1739491185
1594,projekt-detail_770,CM0801,0.173833505
884,projekt-detail_1766,IC1304,0.1737733327
641,projekt-detail_1529,MP1002,0.173702992
1646,projekt-detail_834,IC1207,0.1736800836
316,projekt-detail_1216,TU1401,0.1736002604
824,projekt-detail_170,FA1006,0.1735527209
853,projekt-detail_1737,IS0605,0.173362138
1092,projekt-detail_232,IS1007,0.1732783859
1516,projekt-detail_686,IS1006,0.1732115877
1286,projekt-detail_433,IS0604,0.1731530488
260,projekt-detail_1162,IS1406,0.1730736859
