Urs Baier,01.06.2009,Bioabfallbehandlungsanlagen als Hygienebarrieren,Corpora/zhaw/projekt-detail_1081.txt
Vinzenz Wyss,01.06.2009,Evaluation der Zeitschrift &quot;ZHAW-Impact&quot;,Corpora/zhaw/projekt-detail_1082.txt
,,Mathi-Fitnessstudio,Corpora/zhaw/projekt-detail_1085.txt
: ,tbeginn / ,Sozialpolitik unterrichten,Corpora/zhaw/projekt-detail_1087.txt
Colette Schneider Stingelin,01.05.2014,Evaluation Informationspolitik Kanton Bern,Corpora/zhaw/projekt-detail_109.txt
: ,tbeginn / ,Writing Cultures and Academic Mobility,Corpora/zhaw/projekt-detail_1091.txt
Christian Coenen,30.05.2009,Service Value Management,Corpora/zhaw/projekt-detail_1092.txt
Jürgen Ebert,11.05.2009,Zetapotentialmessungen zur Charakterisierung von Filterhilfsmitteln,Corpora/zhaw/projekt-detail_1095.txt
Priska Müller Wahl,01.05.2009,AlpFusionen steuern,Corpora/zhaw/projekt-detail_1096.txt
Maureen Ehrensberger-Dow,01.05.2009,Conceptual transfer,Corpora/zhaw/projekt-detail_1097.txt
"Projektteam: Tanja Bleiker,  ",01.05.2009,Fachtagung FVK 2010,Corpora/zhaw/projekt-detail_1099.txt
Gerold Baudinot,01.05.2009,KoLe,Corpora/zhaw/projekt-detail_1101.txt
Vinzenz Wyss,01.05.2009,Media Quality Assessment (MQA),Corpora/zhaw/projekt-detail_1102.txt
Thomas Gabriel,01.05.2009,Wirkungsorientierung in der Jugendhilfe,Corpora/zhaw/projekt-detail_1104.txt
Katharina Stehrenberger,09.04.2009,Konstruktive Betrachtungen,Corpora/zhaw/projekt-detail_1105.txt
Maureen Ehrensberger-Dow,01.04.2009,Capturing Translation Processes (CTP),Corpora/zhaw/projekt-detail_1107.txt
Martin Sievers,01.04.2009,Culture Collection of Switzerland (CCOS),Corpora/zhaw/projekt-detail_1108.txt
Gwendolin Bitter,01.05.2014,Konzept zum natur- und kulturnahen Tourismus im Kanton Schaffhausen,Corpora/zhaw/projekt-detail_111.txt
Thomas Järmann,01.04.2009,Messung elektromagnetischer Felder von Magnetfeldmatten,Corpora/zhaw/projekt-detail_1110.txt
Rolf Krebs,01.04.2009,Monitoring der Rekultivierung im Benknerriet,Corpora/zhaw/projekt-detail_1111.txt
Holger Auerbach,01.04.2009,Neugestaltung der Organisation der Physiotherapie am KSW Kantonsspital Winterthur,Corpora/zhaw/projekt-detail_1112.txt
Projektvolumen in SFr.: 50 000 ,01.04.2009,Positionierung und Wert der Marke &quot;Park von nationaler Bedeutung&quot;,Corpora/zhaw/projekt-detail_1113.txt
Cornelia Nüssel,01.04.2009,Usability-Aspekte in der Medizinaltechnik,Corpora/zhaw/projekt-detail_1116.txt
Peter Münch,01.04.2009,Wettbewerbssituation im Schweizer Automobilgewerbe,Corpora/zhaw/projekt-detail_1118.txt
Maureen Ehrensberger-Dow,01.03.2009,Attrition,Corpora/zhaw/projekt-detail_1122.txt
Kinner Mathias,01.03.2009,NanoBAK,Corpora/zhaw/projekt-detail_1126.txt
Maren Runte,01.03.2009,Sensory language and the semantics of taste (SenS),Corpora/zhaw/projekt-detail_1127.txt
Daniel Imhof,16.02.2009,Pilotprojekt Spitex Wohnassistenz - eine Kostenvergleichsanalyse,Corpora/zhaw/projekt-detail_1128.txt
Eva Frei,01.05.2014,Sanierung PAK belasteter Weiher,Corpora/zhaw/projekt-detail_113.txt
Thomas Gabriel,02.02.2009,Adoption - Untersuchung von Einflussfaktoren auf Kind und Familie,Corpora/zhaw/projekt-detail_1130.txt
Jörg Keller,01.02.2009,Expertenbericht Fontana-Passugg (2009),Corpora/zhaw/projekt-detail_1132.txt
Petra Hagen Hodgson,01.02.2009,Gartenzimmer,Corpora/zhaw/projekt-detail_1133.txt
Melih Derman,01.02.2009,ILP-Datenbank Dept. N,Corpora/zhaw/projekt-detail_1134.txt
Irina Pericin Häfliger,01.02.2009,Kennzahlen Textilmanagement,Corpora/zhaw/projekt-detail_1135.txt
Aleksandra Gnach,23.01.2009,Schreibcoaching IAM: Individuelles Schreibcoaching BAG,Corpora/zhaw/projekt-detail_1137.txt
Guido Keel,20.01.2009,Journalisten im Internet 2009,Corpora/zhaw/projekt-detail_1138.txt
Markus Wirz,24.04.2014,Entwicklung Tarifsystem geriatrische Rehabilitation,Corpora/zhaw/projekt-detail_114.txt
Regula billeter,01.01.2009,Auswirkungen der Renaturierung der Thur auf die Verbreitung von Neophyten.,Corpora/zhaw/projekt-detail_1140.txt
Thomas Keller,01.01.2009,Berechnungsnetze,Corpora/zhaw/projekt-detail_1141.txt
Caspar Demuth,01.01.2009,Charakterisierung von Sensorkomponenten,Corpora/zhaw/projekt-detail_1144.txt
Moritz Vögeli,01.01.2009,CITES Kontrollstelle,Corpora/zhaw/projekt-detail_1145.txt
Martin Dietrich,01.01.2009,DataMining im Bereich Detailhandel Pilotprojekt,Corpora/zhaw/projekt-detail_1147.txt
Thomas Keller,01.01.2009,Datenverbund,Corpora/zhaw/projekt-detail_1148.txt
Annette Bongartz,01.01.2009,ECROPOLIS,Corpora/zhaw/projekt-detail_1149.txt
Thomas Keller,01.01.2009,Integrationsarchitektur,Corpora/zhaw/projekt-detail_1154.txt
Thomas Keller,01.01.2009,Konzeptionierung Enterprise Service Bus,Corpora/zhaw/projekt-detail_1155.txt
Stephan Brenneisen,01.01.2009,Machbarkeitsstudie Bodenverwertung,Corpora/zhaw/projekt-detail_1156.txt
Michael Schanne,01.01.2009,Medienanalyse psychische Erkrankungen,Corpora/zhaw/projekt-detail_1158.txt
Peter Rüesch ,01.01.2009,Mitarbeitendenzufriedenheit Notfallpraxis Waid,Corpora/zhaw/projekt-detail_1160.txt
Peter Biller,01.01.2009,Modelling and simulation of phenomena in vaccum interrupters,Corpora/zhaw/projekt-detail_1161.txt
Diana Betzler,01.01.2009,Publikumsbefragung Solothurner Filmtage 09,Corpora/zhaw/projekt-detail_1163.txt
Stefan Wirth,01.01.2009,Selektionsanalysen Funds of Hedge Funds,Corpora/zhaw/projekt-detail_1164.txt
Kerstin Pichel,01.01.2009,Strategieentwicklung und Umsetzung in einer Bibliothek,Corpora/zhaw/projekt-detail_1165.txt
Regina Anhorn,01.01.2009,"Swiss Funds of Hedge Funds: Structure, Evolution and Performance",Corpora/zhaw/projekt-detail_1166.txt
Erich Renner,01.12.2008,Nachhaltigkeits-Monitoring im Kanton Uri,Corpora/zhaw/projekt-detail_1173.txt
Vinzenz Wyss,01.12.2008,QM-Check Schweizer Fernsehen,Corpora/zhaw/projekt-detail_1174.txt
Urs Baier,01.11.2008,Anaerobe Behandlung von kommunalem Abwasser (ANKARA),Corpora/zhaw/projekt-detail_1175.txt
Birgitta Borghoff,01.11.2008,Aufbau und Entwicklung des Kulturmanagement Network in der Region Schweiz,Corpora/zhaw/projekt-detail_1176.txt
Karin Werner,01.11.2008,Entwicklungsorientierte Suchtarbeit,Corpora/zhaw/projekt-detail_1177.txt
Stefan Forster,01.04.2014,Betriebskonzept Academia Vivian,Corpora/zhaw/projekt-detail_118.txt
Urs Baier,01.11.2008,Schadstoffe in Biomassen in der Schweiz,Corpora/zhaw/projekt-detail_1180.txt
Gary Massey,01.11.2008,Translation Tools in the Workplace,Corpora/zhaw/projekt-detail_1181.txt
Petra Huber,01.10.2008,Beauty Backware,Corpora/zhaw/projekt-detail_1184.txt
Herbert Winistörfer,01.10.2008,CO2-Bilanz Aduno-Gruppe,Corpora/zhaw/projekt-detail_1185.txt
Yvonne Therese Christ,01.10.2008,Green Care Farming COST 866,Corpora/zhaw/projekt-detail_1187.txt
Holger Auerbach,01.10.2008,MPCT Mobiles Palliative Care Team,Corpora/zhaw/projekt-detail_1189.txt
Roman Berger,01.04.2014,Bodenkartierung St. Gallen,Corpora/zhaw/projekt-detail_119.txt
Simone Karras,01.10.2008,Schreiben als beruflicher Bildungsinhalt,Corpora/zhaw/projekt-detail_1191.txt
Catherine Badras,01.10.2008,Untersuchung der Benutzerfreundlichkeit der  E-Mailing Kampagne eines Schweizer Stellenanbieters mit den Methoden Usability-Testing und Eyetracking,Corpora/zhaw/projekt-detail_1193.txt
Corinne Gantenbein-Demarchi,15.09.2008,Food Safety: Powdered Infant Formula,Corpora/zhaw/projekt-detail_1195.txt
Peter Stücheli-Herlach,01.09.2008,Corporate Publishing Review IAM: Swiss Post International,Corpora/zhaw/projekt-detail_1197.txt
Jörg Keller,01.09.2008,DACH-Landeskundeseminar 2009,Corpora/zhaw/projekt-detail_1198.txt
Romy Mahrer Imhof,01.09.2008,Einbezug familialer Systeme in die Pflege von Epilepsie-PatientInnen,Corpora/zhaw/projekt-detail_1199.txt
Beate Sick,01.09.2008,Klarinettenklang,Corpora/zhaw/projekt-detail_1201.txt
Eduard Mumprecht,01.09.2008,Lageplan,Corpora/zhaw/projekt-detail_1202.txt
Reto Rupf,01.09.2008,mafreina - Management-Toolkit Freizeit und Natur,Corpora/zhaw/projekt-detail_1203.txt
Andor Bariska,01.09.2008,TEMPO - Temperature Marker Based Positioning,Corpora/zhaw/projekt-detail_1204.txt
Reto Rupf,01.09.2008,VISIMAN,Corpora/zhaw/projekt-detail_1205.txt
Daniel Imhof,01.09.2008,Vorprojekt zur Entwicklung einer Leitlinie vordere Kreuzbandruptur,Corpora/zhaw/projekt-detail_1206.txt
Peter Stücheli-Herlach,27.08.2008,Messagedesign-Atelier IAM: Schweizer Tourismus-Verband,Corpora/zhaw/projekt-detail_1207.txt
Natascha Jordi,27.08.2008,Signalisation der &quot;Via Capricorn&quot;,Corpora/zhaw/projekt-detail_1208.txt
Brian Rüeger,26.08.2008,CRM E-Learning Tool,Corpora/zhaw/projekt-detail_1209.txt
Andreas Hauser,06.08.2008,Redesign Kommunikations- und Diensteistungsauftritt einer Bank,Corpora/zhaw/projekt-detail_1210.txt
Melanie Ackermann,01.08.2008,Mitentwicklung und Validierung  der GarSensorik,Corpora/zhaw/projekt-detail_1213.txt
Aleksandra Gnach,15.07.2008,Schreibwerkstatt IAM: Swiss Post International,Corpora/zhaw/projekt-detail_1217.txt
Bruno Scheidegger,01.07.2008,Bildungskonzept Naturzentrum Thurauen,Corpora/zhaw/projekt-detail_1218.txt
Wilfried Elspass (Tech. PL),01.04.2014,Erweiterung und Entwicklung eines innovativen Befestigungssystems zur werkzeuglosen Montage von Rohren und Kabeln (multi-CLIC),Corpora/zhaw/projekt-detail_122.txt
Thomas Hofstetter,01.07.2008,Lern- und Erlebnisort Halbinsel Au,Corpora/zhaw/projekt-detail_1220.txt
Caspar Demuth,01.07.2008,Trinkwasseranalytik,Corpora/zhaw/projekt-detail_1222.txt
Nicole Locher Oberholzer,01.07.2008,UVB Beschneiung Piste Paradiso,Corpora/zhaw/projekt-detail_1223.txt
Peter Rüesch (Gesamtprojekt),01.06.2008,Gesundheitsmanagement in Schweizer Banken: Bestandesaufnahme und Evaluation (Teilprojekt F&amp;E Pflege),Corpora/zhaw/projekt-detail_1227.txt
Peter Stücheli-Herlach,01.04.2014,Global Creative Systems,Corpora/zhaw/projekt-detail_123.txt
