"","Name","Project","Score"
"4644","project-7180","FP1301",0.271612851070626
"3239","project-32554","ES1406",0.271436395701836
"3577","project-33797","ES1301",0.271144329066631
"418","project-13887","MP1006",0.271101059253855
"3512","project-33514","ES1301",0.271064311287755
"3607","project-33889","MP1209",0.270975206879226
"1394","project-23121","FP1006",0.270900399420835
"3124","project-32157","CM1204",0.270835981166529
"1231","project-22205","MP1002",0.270760030016704
"4090","project-5837","MP1305",0.270543389202398
"2988","project-31510","TU1105",0.270204662982222
"1152","project-21728","MP1001",0.269700561759473
"2321","project-28785","CM1104",0.269602118957179
"3635","project-33968","CM1106",0.269295126396336
"852","project-18940","IS1308",0.269001322278133
"416","project-13853","ES1301",0.268604038499745
"2057","project-27369","FA1006",0.268244426562172
"121","project-10952","CM1402",0.267191714825978
"3450","project-33275","FA1208",0.267046038613188
"1604","project-24563","MP1305",0.266964956892091
"742","project-17965","MP1207",0.266920342108742
"778","project-18198","CM1402",0.26681854751479
"948","project-19981","MP1301",0.266675262059796
"2855","project-31140","CM1104",0.266546964066803
"2350","project-28953","ES1404",0.266520974922126
"2290","project-28636","TD1207",0.266334749402795
"158","project-11187","CM1402",0.26629388434075
"2982","project-31504","MP1301",0.265882644857072
"2971","project-31470","ES1202",0.265742950806962
"1538","project-23907","TD1006",0.265342427632887
"3967","project-35097","TU1001",0.265023264629292
"1015","project-20585","MP1001",0.264963308586277
"1230","project-22202","MP1006",0.264952822220503
"449","project-14075","TU1401",0.264838011834689
"2078","project-27484","BM1007",0.264746933168775
"2420","project-29244","TU1401",0.264690315660987
"3061","project-31813","TU1405",0.264209124492425
"4257","project-6246","MP1305",0.263647477375756
"3869","project-34784","TU1202",0.263510969798799
"3133","project-32198","CM1302",0.26348662033636
"1272","project-22477","CM1307",0.263452939193453
"3880","project-34863","ES1405",0.263257855108745
"1749","project-25653","CM1206",0.263009829913597
"4115","project-5928","TD1002",0.262822208348625
"3575","project-33794","FP1206",0.262779586009994
"879","project-19235","IC1408",0.26260715805698
"1212","project-22114","TU1304",0.262450246400681
"3454","project-33291","TU1305",0.262336267336296
"3998","project-35227","TU1201",0.262280789687926
"1017","project-20611","FP1206",0.262172174978953
"2540","project-29816","ES1104",0.262081090779298
"1128","project-21566","MP1207",0.261538220961458
"4404","project-6569","FP1001",0.261441135562871
"391","project-13589","CM1001",0.261201781822151
"2261","project-28498","TU1202",0.261094053165479
"1020","project-20617","TD1001",0.261055093583882
"3347","project-32905","FA1006",0.26085518648245
"1621","project-24657","CM1003",0.260649496765576
"113","project-10939","CM1402",0.260428935489832
"4063","project-5810","FA1208",0.260422475871984
"410","project-13785","IC1002",0.260286686115519
"3726","project-34263","ES1005",0.259937698561117
"4196","project-6130","TU1301",0.25992068844371
