"Name","Vorname","Gastinstitution","Disziplin","Titel Projekt","Jahr"
"Kocsis","Laszlo","Université de Lausanne","Geochemistry","Paleogene environmental conditions in shallow tropical basins: case studies in the Tethyan phosphate deposits of North Africa",2009
"Ciobanu Radomirovic","Laura Ioana","Université de Neuchâtel","Mathematics","Algorithmic, asymptotic and combinatorial aspects of equations in groups",2011
"Meier","Laurenz","Université de Fribourg","Psychology","Examining the Effect of Well-being on Work Stressors",2012
"Döring","Leif","ETH Zürich","Mathematics","Lévy Processes Coming in from Infinity and Jump-Diffusions with Singular Coefficients",2013
"Wansleben","Leon","Universität Luzern","Sociology","Processes of scientization in the Bank of England and the Swiss National Bank since 1960",2013
"Pollet","Lode","ETH Zürich","Condensed Matter Physics","Developing tools for bridging the gap between cold gases and materials",2010
"Fagiano","Lorenzo Mario","ETH Zürich","Other disciplines of Engineering Sciences","Experimental Assessment of Airborne Wind Energy",2013
"van Dongen","Luc","Université de Fribourg","History in general","La ""garde anticommuniste"" suisse et ses homologues occidentales au temps de la guerre froide : réseaux, milieux et transferts transnationaux (1945-1975)",2008
"Montero de Espinosa","Lucas","Université de Fribourg","Organic Chemistry","Simplified supramolecular polymers: from fundamental studies to a new generation of reversible two-component resins",2014
"Bietti","Lucas M.","Université de Neuchâtel","Psychology","The Embodied Communication of Memories: Interaction, Evolution and Learning in Social Contexts",2014
"Isa","Lucio","ETH Zürich","Material Sciences","Self-assembly of anisotropic nanoparticles at liquid interfaces: unraveling the basics and designing new functional materials",2012
"Kurant","Maciej","ETH Zürich","Information Sciences","Graph Sampling: Theory and Applications",2012
"Irla","Magali","Université de Genève","Immunology, Immunopathology","Role of medullary thymic epithelial cells in the generation of natural regulatory T cells",2010
"Hollenstein","Marcel","Universität Bern","Organic Chemistry","Improving the catalytic repertoire of DNA enzymes",2009
"Nievergelt","Marco","Université de Lausanne","German and English languages and literature","Allegory, Hermeneutics and Epistemology: Guillaume Deguileville’s Pilgrimage trilogy in England 1350-1450.",2011
"Pignatari","Marco","Universität Basel","Astronomy, Astrophysics and Spatial Sciences","A new comprehensive analysis of nucleosynthesis in stars: a bridge between nuclear astrophysics, stellar models and observations",2009
"Caiata Zufferey","Maria","Université de Genève","Sociology","Entre santé et maladie. Analyse des trajectoires et des modes de vie en présence du risque génétique de cancer",2010
"Noti","Mario","Universität Bern","Immunology, Immunopathology","The Role of the Microbiota in Food-induced Allergic Disorders",2014
"Tegethoff","Marion","Universität Basel","Psychology","Pediatric mental-somatic comorbidity: epidemiological and psychobiological perspectives",2011
"Geuking","Markus","Universität Bern","Immunology, Immunopathology","The role of antigen-specific and Toll-like receptor-dependent de novo generation of inducible regulatory T cells in the induction of intestinal immune homeostasis",2010
"Seeger","Markus","Universität Zürich","Biochemistry","Targeting multidrug efflux proteins: Studying transport processes across the membrane using designed ankyrin repeat proteins and antibody fragments",2009
